iter	Passed	Remaining
0	1	191
1	3	166
2	5	164
3	6	152
4	7	151
5	9	148
6	11	146
7	12	145
8	14	143
9	15	143
10	17	141
11	19	139
12	20	137
13	22	136
14	23	135
15	25	134
16	27	132
17	28	130
18	30	129
19	32	128
20	33	127
21	35	126
22	37	124
23	39	124
24	40	122
25	42	121
26	44	119
27	46	118
28	48	117
29	50	116
30	51	115
31	53	114
32	55	113
33	57	111
34	59	109
35	61	108
36	62	106
37	64	105
38	66	104
39	68	102
40	70	101
41	70	97
42	72	96
43	74	95
44	77	94
45	78	92
46	80	91
47	82	89
48	84	88
49	86	86
50	88	84
51	90	83
52	92	81
53	94	80
54	95	78
55	97	76
56	99	74
57	100	72
58	102	71
59	104	69
60	105	67
61	107	65
62	109	64
63	110	62
64	112	60
65	113	58
66	115	56
67	117	55
68	118	53
69	120	51
70	122	49
71	123	48
72	125	46
73	126	44
74	128	42
75	130	41
76	131	39
77	133	37
78	134	35
79	136	34
80	138	32
81	139	30
82	141	28
83	142	27
84	144	25
85	146	23
86	147	22
87	149	20
88	150	18
89	152	16
90	153	15
91	155	13
92	156	11
93	158	10
94	159	8
95	161	6
96	162	5
97	164	3
98	165	1
99	167	0
