iter	Passed	Remaining
0	239	239041
1	240	120117
2	242	80657
3	244	60780
4	245	48860
5	246	40912
6	248	35235
7	250	31001
8	251	27688
9	252	25031
10	254	22878
11	256	21086
12	257	19578
13	259	18267
14	260	17125
15	262	16138
16	263	15264
17	265	14474
18	266	13766
19	268	13139
20	269	12573
21	271	12066
22	273	11603
23	274	11168
24	276	10775
25	277	10414
26	279	10081
27	281	9765
28	282	9473
29	285	9215
30	287	8971
31	288	8738
32	290	8515
33	292	8308
34	294	8114
35	296	7926
36	297	7752
37	299	7587
38	301	7434
39	303	7290
40	305	7146
41	307	7014
42	309	6889
43	311	6762
44	312	6638
45	314	6526
46	316	6415
47	318	6309
48	319	6205
49	322	6120
50	323	6020
51	325	5928
52	326	5839
53	328	5755
54	330	5673
55	331	5592
56	333	5513
57	334	5437
58	336	5373
59	338	5304
60	340	5237
61	341	5171
62	344	5116
63	345	5055
64	347	4997
65	349	4941
66	350	4887
67	352	4837
68	355	4793
69	357	4748
70	368	4827
71	371	4785
72	374	4757
73	377	4721
74	379	4680
75	382	4653
76	385	4619
77	388	4588
78	391	4561
79	394	4531
80	396	4502
81	399	4475
82	401	4430
83	403	4403
84	407	4382
85	409	4354
86	412	4325
87	414	4293
88	416	4261
89	422	4271
90	424	4236
91	425	4204
92	428	4174
93	429	4143
94	431	4109
95	433	4079
96	435	4050
97	436	4021
98	438	3993
99	440	3965
100	442	3940
101	444	3916
102	446	3888
103	448	3862
104	450	3837
105	452	3818
106	454	3794
107	456	3773
108	459	3753
109	461	3730
110	462	3707
111	465	3689
112	467	3669
113	469	3647
114	471	3627
115	473	3608
116	474	3584
117	476	3563
118	478	3543
119	480	3526
120	482	3507
121	484	3485
122	486	3468
123	488	3450
124	490	3431
125	492	3413
126	493	3393
127	495	3377
128	497	3360
129	499	3343
130	501	3328
131	503	3313
132	505	3297
133	507	3280
134	509	3266
135	511	3252
136	513	3236
137	515	3220
138	517	3207
139	519	3192
140	521	3178
141	523	3160
142	525	3146
143	526	3132
144	528	3117
145	530	3103
146	532	3090
147	534	3076
148	536	3064
149	538	3051
150	540	3040
151	542	3026
152	544	3013
153	546	3002
154	549	2994
155	551	2982
156	553	2970
157	555	2959
158	557	2947
159	558	2934
160	560	2919
161	562	2911
162	565	2901
163	566	2890
164	568	2879
165	571	2869
166	572	2857
167	574	2845
168	576	2834
169	578	2824
170	580	2813
171	582	2802
172	583	2791
173	585	2780
174	587	2769
175	588	2757
176	590	2746
177	592	2735
178	594	2725
179	596	2715
180	597	2705
181	599	2696
182	601	2686
183	603	2675
184	604	2665
185	606	2655
186	608	2646
187	610	2636
188	612	2626
189	613	2616
190	615	2607
191	617	2597
192	618	2587
193	620	2577
194	622	2568
